y	x	label	showSelected
0.954545454545455	0.505832490862431	ILI Activity Time Series of Alabama	Alabama
0.954545454545455	0.505832490862431	ILI Activity Time Series of Arizona	Arizona
0.954545454545455	0.505832490862431	ILI Activity Time Series of Arkansas	Arkansas
0.954545454545455	0.505832490862431	ILI Activity Time Series of California	California
0.954545454545455	0.505832490862431	ILI Activity Time Series of Colorado	Colorado
0.954545454545455	0.505832490862431	ILI Activity Time Series of Connecticut	Connecticut
0.954545454545455	0.505832490862431	ILI Activity Time Series of Delaware	Delaware
0.954545454545455	0.505832490862431	ILI Activity Time Series of Florida	Florida
0.954545454545455	0.505832490862431	ILI Activity Time Series of Georgia	Georgia
0.954545454545455	0.505832490862431	ILI Activity Time Series of Idaho	Idaho
0.954545454545455	0.505832490862431	ILI Activity Time Series of Illinois	Illinois
0.954545454545455	0.505832490862431	ILI Activity Time Series of Indiana	Indiana
0.954545454545455	0.505832490862431	ILI Activity Time Series of Iowa	Iowa
0.954545454545455	0.505832490862431	ILI Activity Time Series of Kansas	Kansas
0.954545454545455	0.505832490862431	ILI Activity Time Series of Kentucky	Kentucky
0.954545454545455	0.505832490862431	ILI Activity Time Series of Louisiana	Louisiana
0.954545454545455	0.505832490862431	ILI Activity Time Series of Maine	Maine
0.954545454545455	0.505832490862431	ILI Activity Time Series of Maryland	Maryland
0.954545454545455	0.505832490862431	ILI Activity Time Series of Massachusetts	Massachusetts
0.954545454545455	0.505832490862431	ILI Activity Time Series of Michigan	Michigan
0.954545454545455	0.505832490862431	ILI Activity Time Series of Minnesota	Minnesota
0.954545454545455	0.505832490862431	ILI Activity Time Series of Mississippi	Mississippi
0.954545454545455	0.505832490862431	ILI Activity Time Series of Missouri	Missouri
0.954545454545455	0.505832490862431	ILI Activity Time Series of Montana	Montana
0.954545454545455	0.505832490862431	ILI Activity Time Series of Nebraska	Nebraska
0.954545454545455	0.505832490862431	ILI Activity Time Series of Nevada	Nevada
0.954545454545455	0.505832490862431	ILI Activity Time Series of New Hampshire	New Hampshire
0.954545454545455	0.505832490862431	ILI Activity Time Series of New Jersey	New Jersey
0.954545454545455	0.505832490862431	ILI Activity Time Series of New Mexico	New Mexico
0.954545454545455	0.505832490862431	ILI Activity Time Series of New York	New York
0.954545454545455	0.505832490862431	ILI Activity Time Series of North Carolina	North Carolina
0.954545454545455	0.505832490862431	ILI Activity Time Series of North Dakota	North Dakota
0.954545454545455	0.505832490862431	ILI Activity Time Series of Ohio	Ohio
0.954545454545455	0.505832490862431	ILI Activity Time Series of Oklahoma	Oklahoma
0.954545454545455	0.505832490862431	ILI Activity Time Series of Oregon	Oregon
0.954545454545455	0.505832490862431	ILI Activity Time Series of Pennsylvania	Pennsylvania
0.954545454545455	0.505832490862431	ILI Activity Time Series of Rhode Island	Rhode Island
0.954545454545455	0.505832490862431	ILI Activity Time Series of South Carolina	South Carolina
0.954545454545455	0.505832490862431	ILI Activity Time Series of South Dakota	South Dakota
0.954545454545455	0.505832490862431	ILI Activity Time Series of Tennessee	Tennessee
0.954545454545455	0.505832490862431	ILI Activity Time Series of Texas	Texas
0.954545454545455	0.505832490862431	ILI Activity Time Series of Utah	Utah
0.954545454545455	0.505832490862431	ILI Activity Time Series of Vermont	Vermont
0.954545454545455	0.505832490862431	ILI Activity Time Series of Virginia	Virginia
0.954545454545455	0.505832490862431	ILI Activity Time Series of Washington	Washington
0.954545454545455	0.505832490862431	ILI Activity Time Series of West Virginia	West Virginia
0.954545454545455	0.505832490862431	ILI Activity Time Series of Wisconsin	Wisconsin
0.954545454545455	0.505832490862431	ILI Activity Time Series of Wyoming	Wyoming
